kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
waktu check in tidak sesuai dengan informasi penting dari hotel , tercantum check in jam 14 faktanya baru bisa check in jam 17 lebih . | (waktu check in, tidak sesuai, negative)
pelayanannya tidak baik saat yang jaga pria kamar tidak ada sedikitpun ventilasi udara , tidak ada kaca juga dikamar , kamar mandi kotor masih ada baju yang di gantung entah punya siapa . | (pelayanannya, tidak baik, negative); (ventilasi udara, tidak ada, negative); (kaca, tidak ada, negative); (kamar mandi, kotor, negative)
ada rupa ada harga . lumayan lah . | 
pelayanan sudah baik . fasilitas sudah sesuai dengan harga . hanya saja ac berisik . | (pelayanan, baik, positive); (fasilitas, sesuai, positive); (ac, berisik, negative)
kamar bersih , sesuai sama harga , kalau mau menginap tetapi kalau budget tempat ini cocok , . | (kamar, bersih, positive)
agak jorok wcnya dan spraynya tidak bersh . | (wcnya, agak jorok, negative); (spraynya, tidak bersh, negative)
standar , bangunan tua . namun saklar listrik sudah tidak kuat menancap pada dinding , ac dingin memerlukan waktu lama , lift hanya sampai lantai 4 padahal kamar ada di lantai 5 . | (bangunan, tua, negative); (ac, dingin memerlukan waktu lama, negative)
baguss kamarnyaa bersih dekat dari perkotaan . | (kamarnyaa, bersih, positive)
bagus nyaman ramah . | 
sempat bermasalah ketika akan checkin dengan alasan kamar sudah penuh , tetapi sudah diselesaikan pihak hotel . | (checkin, bermasalah, negative)
dari jam 01.00 sampai jam 05.30 wita kamar gelap , panas , banyak nyamuk karena mati lampu . | (kamar, gelap, negative); (kamar, panas, negative); (kamar, banyak nyamuk, negative)
cukup baik , lokasi sangat strategis . | (lokasi, sangat strategis, positive)
seprai kasur dan handuk masih kurangp bersih tetapi , kalau lebih bersih pasti tambah oke . | (seprai, kurangp bersih, negative); (kasur, kurangp bersih, negative); (handuk, kurangp bersih, negative)
kamarnya bersih , dan nyaman . | (kamarnya, bersih, positive); (kamarnya, nyaman, positive)
sangat dekat dengan terminal tirtonadi hanya 100m . bisa jalan kaki . | 
tempat strategis dan sangat nyaman membuat liburan di jogja menjadi menyenangkan . | (tempat, strategis, positive); (tempat, sangat nyaman, positive)
hot waternya hari pertama berfungsi namun hari kedua sudah tidak berfungsi , siaran tvnya kabur dan ac kurang dingin . | (hot waternya, tidak berfungsi, negative); (siaran tvnya, kabur, negative); (ac, kurang dingin, negative)
pelayanan ramah , nyaman , sesuai dengan harganya . | (pelayanan, ramah, positive); (pelayanan, nyaman, positive); (pelayanan, sesuai, positive); (harganya, sesuai, positive)
cukup baik . tetapi lebih apik lagi membereskan kasurnya . masa ada pakaian dalam di dalam selimutnya ! sarapan oklah . | (sarapan, oklah, positive)
airy gedung sate nyaman kamarnya dan adem jauh dari keramaian kendaraan yang buat bising . | (kamarnya, nyaman, positive); (kamarnya, adem, positive)
enak nyaman murah tetapi berkualitas sayang kemarin tidak dapat perlengkapan mandi huhu . keseluruhan oke banget kok . | (perlengkapan mandi, tidak dapat, negative); (keseluruhan, oke banget, positive)
lokasinya mudah ditemui , dekat dengan keramaian , pelayanan dan fasilitasnya sangat baik . | (lokasinya, mudah ditemui, positive); (pelayanan, sangat baik, positive); (fasilitasnya, sangat baik, positive)
kamar nya oke bagus rapi . ac dingin . ramah . tetapi wifinya parah tidak bisa dipakai . | (kamar nya, oke, positive); (kamar nya, bagus, positive); (kamar nya, rapi, positive); (ac, dingin, positive); (wifinya, parah, negative)
tempatnya secara keseluruhan baik , rapi , bersih . hanya hot shower tidak tersedia . | (tempatnya, baik, positive); (tempatnya, rapi, positive); (tempatnya, bersih, positive); (hot shower, tidak tersedia, negative)
terbaik di kelasnya . , . | 
wifi mati , toilet rusak . | (wifi, mati, negative); (toilet, rusak, negative)
bersih . nyaman . adem , recomended . | 
saya lihat bed seperti di hotel krbanyakan . tetapi saya tidak boleh stay . karena ordernya hanya untuk 1 orang . dan kalau tetap mau tinggal saya harus bayar sejumlah 4x50.000 = 200.000 lagi . | 
kamar bersih . tempat tidur juga nyaman . tetapi sayang di kamar saya 803 toilet sepertinya tersumbat . kamar terlalu sempit , terlalu pas pasan . sarapan juga kurang bervariasi . tetapi untuk harga discont cukup memuaskan . terimakasih . | (kamar, bersih, positive); (tempat tidur, nyaman, positive); (toilet, tersumbat, negative); (kamar, terlalu sempit, negative); (kamar, terlalu pas pasan, negative); (sarapan, kurang bervariasi, negative); (harga, cukup memuaskan, positive)
akses mudah . pelayanan oke , cuma prasarananya tolong perbaiki minimal ruang tamu ada . | (akses, mudah, positive); (pelayanan, oke, positive); (prasarananya, tolong perbaiki, negative)
pelayaanan memuaskan . makanan juga banyak variasinya . | (pelayaanan, memuaskan, positive); (makanan, banyak variasinya, positive)
pengalaman yang buruk . 2 helm saya hilang dan pihak hotel tidak memberikan pertanggung jawaban . | 
lokasi strategis dekat alunalun malang , banyak tempat makan . | (lokasi, strategis, positive)
lingkungan sepi , fasilitas bagus . | (lingkungan, sepi, negative); (fasilitas, bagus, positive)
hotel dengan harga terjangkau , lokasi mudah ditemukan , pelayanan baik ramah , kondisi kamar baik , kualitas makanan perlu ditingkatkan lagi : ) terimakasih untuk . | (harga, terjangkau, positive); (lokasi, mudah ditemukan, positive); (pelayanan, baik, positive); (pelayanan, ramah, positive); (kamar, baik, positive); (kualitas makanan, perlu ditingkatkan lagi, negative)
enak dapat sarapan bubur ayam . walau kamar mandi sempit , tetapi cukup dan bersih . | (kamar mandi, sempit, negative); (kamar mandi, cukup, positive); (kamar mandi, bersih, positive)
lumayan untuk budget hotel . cuma banyak nyamuk . | 
fasilitas sesuai . bersih sangat nyaman . cuma makanan sarapannya kurang enak . | (fasilitas, sesuai, positive); (fasilitas, bersih, positive); (fasilitas, sangat nyaman, positive); (makanan sarapannya, kurang enak, negative)
not bad , ruangan bersih , ac dingin , tidak ada kendala . | (ruangan, bersih, positive); (ac, dingin, positive)
lokasi di gang sempit , susah dtemui . datang awal , tidak bisa early check in , harus tambah fee , harus tunggu smpk jmia . ruang tunggu pengap , bau rokok . kamar kurang bersih , banyak banyak sekali kecoak , banyak debu . langsung check out setelah lihat kamar seperti itu . | (lokasi, susah dtemui, negative); (ruang tunggu, pengap, negative); (ruang tunggu, bau rokok, negative); (kamar, kurang bersih, negative)
bagus . pelayanannya baik . | (pelayanannya, baik, positive)
bagus . tetapi terlalu terpencil . resepsionis pun tidak 24 jam . | (resepsionis, tidak 24 jam, negative)
nyaman , baik , bersih , wifinya tidak sampai kamar . | (wifinya, tidak sampai, negative)
check in mudah . kamar bersih . hadiah kelengkapan airy komplit . | (check in, mudah, positive); (kamar, bersih, positive); (kelengkapan airy, komplit, positive)
pelayanan sangat ramah , tetapi kamar mandi bau sekali . | (pelayanan, sangat ramah, positive); (kamar mandi, bau sekali, negative)
harga tidak beda jauh sama hotel santika tetapi jauh bintangnya . | 
kamar nya bersih . | (kamar nya, bersih, positive)
acnya lumayan dingin . | (acnya, lumayan dingin, positive)
tempatnya bagus , kamar mandi bersih , ada hairdryer juga recom banget deh . | (tempatnya, bagus, positive); (kamar mandi, bersih, positive); (hairdryer, ada, positive)
ruanganya sangat bersih , rapi dan tata ruang . buat tidak mau beranjak dari kamar . amat sangat rekomended . | (ruanganya, sangat bersih, positive); (ruanganya, rapi, positive)
ac tidak dingin , sudah 3x lapor tidak ada tanggapan sama sekali , lantai keramik banyak yang rusak . | (ac, tidak dingin, negative); (lantai, rusak, negative)
semua bagus saya suka nyaman cuma kurangnya petugas kurang sigap dalam pelayanan kamar seperti pembaharuan minum dan cemilan serta peralatan mandi . | (semua, bagus, positive); (petugas, kurang sigap, negative)
kurang pas kalau buat keluarga . | 
hotelnya baik , enak cuma air panas di kamar mandinya terlalu panas . | (hotelnya, baik, positive); (hotelnya, enak, positive); (air panas, terlalu panas, negative)
pelayanan bagus , lokasi sangat strategis . | (pelayanan, bagus, positive); (lokasi, sangat strategis, positive)
direlokasi ke hotel lain dengan alasan error system sehingga terjadi over booking . tetapi fasilitas hotel pengganti dibawah hotel yang dibooking awalnya . semoga tidak terulang kembali . | (fasilitas hotel pengganti, dibawah hotel yang dibooking awalnya, negative)
bintang 3 lah iya . | 
kamarnya wangi karbol yang sangat menyengat , saya curiga freon yang bocor . tolong diperhatikan agar tidak sampai ada yang keracunan . terimakasih # 101 . | (kamarnya, sangat menyengat, negative); (freon, bocor, negative)
kebersihan selimut dan kamar masih perlu diperhatikan . tetapi overall not bad . | (kebersihan selimut dan kamar, perlu diperhatikan, negative); (overall, not bad, positive)
tv tidak jelas gambarnya , suasana berisik di depan kamar . kamar mandi kurang bersih . | (tv, tidak jelas gambarnya, negative); (suasana, berisik, negative); (kamar mandi, kurang bersih, negative)
menyenangkan kamar sangat bersih tetapi bentuknya tidak suka . | (kamar, sangat bersih, positive); (bentuknya, tidak suka, negative)
harga aman kamar nyaman pelayanan memuaskan . | (harga, aman, positive); (kamar, nyaman, positive); (pelayanan, memuaskan, positive)
tempatnya bersih , rapi , cari makananya gampang , dekat asemka dan kota tua . | (tempatnya, bersih, positive); (tempatnya, rapi, positive)
air shower kecil . | (air shower, kecil, negative)
pegawai kurang ramah . | (pegawai, kurang ramah, negative)
kondisi kamar baik hanya saja kurang bersih , terlihat debu di lantai dan furniture terutama di kotak snack , lalu semprotan toiletnya lepas . kamarnya juga bau rokok , namun setelah melapor pada housekeeping langsung disemprot , sayangnya ternyata di kamar mandi bau rokoknya tetap tidak hilang . kasurnya lumayan empuk . menu sarapan alakadarnya . | (kamar, baik, positive); (kamar, kurang bersih, negative); (kamarnya, bau rokok, negative); (kamar mandi, bau, negative); (kasurnya, lumayan empuk, positive); (menu sarapan, alakadarnya, negative)
fasilitas tempat sampah masih kurang , kurang di bersihkan kamarnya setiap hari . | (fasilitas tempat sampah, masih kurang, negative)
good , petugas ramah . | (petugas, ramah, positive)
pelayanan ramah tempat tidur nyaman aman dan tenang . | (pelayanan, ramah, positive); (tempat tidur, nyaman, positive); (tempat tidur, aman, positive); (tempat tidur, tenang, positive)
listrik sempat mati , kasur bau . | (listrik, sempat mati, negative); (kasur, bau, negative)
rapi , bersih , sayang toiletnya bau . | (toiletnya, bau, negative)
rapi kamarnya , ada snacknya , nyaman pula . good lah mantap . | (kamarnya, rapi, positive); (kamarnya, nyaman, positive); (kamarnya, good, positive); (kamarnya, mantap, positive); (snacknya, ada, positive)
lumayan oke , ac snack tv perlengkapan mandi ada . | (ac, ada, positive); (snack, ada, positive); (tv, ada, positive); (perlengkapan mandi, ada, positive)
kamar bersih petugas ramah . | (kamar, bersih, positive); (petugas, ramah, positive)
kacanya jangan di toilet saja di kamar tidur juga ada , ditoilet kasih sabun mandi kalau bisa he , dikamar dikasih jam dinding , acnya lama dinginnya , bantalnya ada yang biasa ada yang bau . terimakasih untuk . | (acnya, lama dinginnya, negative); (bantalnya, bau, negative)
kamar dan fasilitas semua jelek . bahkan saat hujan atap kamar bocor . tidaknada tempat sampah . remote tv rusak . | (kamar, jelek, negative); (fasilitas, jelek, negative); (atap kamar, bocor, negative); (tempat sampah, tidaknada, negative); (remote tv, rusak, negative)
kamar dalam kondisi bersih , begitu juga dengan toilet , pelayanan room pelayanan cepat , menu breakfast enak dan variasi menu sesuai dengan rate yang ditawarkan . | (kamar, bersih, positive); (toilet, bersih, positive); (pelayanan room pelayanan, cepat, positive); (menu breakfast, enak, positive)
lumayan lah . tetapi kamar agak sempit . tempat bersih . pelayanan ramah . | (kamar, agak sempit, negative); (tempat, bersih, positive); (pelayanan, ramah, positive)
resepsionisnya kurang ramah . airnya kurang deras . kamarnya agak pengab . kurang sirkulasi . semoga lebih di tingkatkan kedepannya . | (resepsionisnya, kurang ramah, negative); (airnya, kurang deras, negative); (kamarnya, agak pengab, negative)
nyaman dan dekat kuliner khas bogor bandung . | 
sangat nyaman dengan harga segitu . sangat recomended . | 
tempat nyaman , bersih , recomended . | (tempat, nyaman, positive); (tempat, bersih, positive); (tempat, recomended, positive)
toilet bocor , sehingga ubin basah kmanakmana . | (toilet, bocor, negative)
sempit dan tidak lengkap . handuk saja tidak ada . | (handuk, tidak ada, negative)
airy kelas hotel . murah dan nyaman . | 
bagus , murah , nyaman untuk transit . | 
walaupun terlambat 40 menitan check outnya tanpa denda : ) sayangnya pintunya kadang susah dikunci dari dalam . | (pintunya, kadang susah dikunci, negative)
kamar tidak terang ac kurang dingin kamar mandi terlalu kecil wifi rusak lingkungan sekitar hotel asyik sih ada sarapan enak di dekat hotel namanya nasi uduk ibu maya disebelah alfamart . | (kamar, tidak terang, negative); (ac, kurang dingin, negative); (kamar mandi, terlalu kecil, negative); (wifi, rusak, negative); (lingkungan, asyik, positive)
kebersihan kamar mohon diperhatikan , didalam kamar , bau toilet cukup menyengat . | (kebersihan kamar, diperhatikan, negative); (bau toilet, cukup menyengat, negative)
kamar luas dan bersih . | (kamar, luas, positive); (kamar, bersih, positive)
kamarnya tidak seluas yang di foto , pakai lensa wide kali iya jadi lebar kesannya . pesan 3 kamar , overall nilai keren . | (kamarnya, tidak seluas, negative); (overall, keren, positive)
kamarnya nyaman , acnya berbunyi , lantai kamarnya kurang bersih tetapi makanan untuk sarapannya enak terima kasih airy . | (kamarnya, nyaman, positive); (acnya, berbunyi, negative); (lantai kamarnya, kurang bersih, negative); (sarapannya, enak, positive)
kamar yang di berikan letaknya paling pojok dan tidak nyaman . | (kamar, tidak nyaman, negative)
kamarnya nyaman , luas , pelayanan ramah , bersih , tetapi sayang lokasi susah dicari , keseluruhannya bagus . | (kamarnya, nyaman, positive); (kamarnya, luas, positive); (pelayanan, ramah, positive); (pelayanan, bersih, positive); (lokasi, susah dicari, negative); (keseluruhannya, bagus, positive)
fasilitas oke . | (fasilitas, oke, positive)
harga sesuai dan gambar bukan tipuan . | (harga, sesuai, positive)
ac cukup oke . | (ac, cukup oke, positive)
kamar nya bersih dan nyaman . | (kamar nya, bersih, positive); (kamar nya, nyaman, positive)
lampu saja yang suka nyala mati , selebihnya sangat bagus dan murah . | (lampu, nyala mati, negative); (selebihnya, sangat bagus, positive); (selebihnya, murah, positive)
